"Indexcd","Idxtrd01","Idxtrd08"
"000905","2016-04-05","2.646000"
"000905","2016-04-06","0.586200"
"000905","2016-04-07","-1.493800"
"000905","2016-04-08","-0.967000"
"000905","2016-04-11","2.197500"
"000905","2016-04-12","-0.817300"
"000905","2016-04-13","1.462600"
"000905","2016-04-14","0.908400"
"000905","2016-04-15","-0.273400"
"000905","2016-04-18","-1.615600"
"000905","2016-04-19","0.430300"
"000905","2016-04-20","-4.534000"
"000905","2016-04-21","-0.855700"
"000905","2016-04-22","0.680600"
"000905","2016-04-25","-0.553000"
"000905","2016-04-26","1.149100"
"000905","2016-04-27","-0.497400"
"000905","2016-04-28","-0.438300"
"000905","2016-04-29","-0.079000"
"000905","2016-05-03","3.038300"
"000905","2016-05-04","0.037800"
"000905","2016-05-05","0.551600"
"000905","2016-05-06","-3.906100"
"000905","2016-05-09","-3.654200"
"000905","2016-05-10","-0.082700"
"000905","2016-05-11","-0.269800"
"000905","2016-05-12","0.053200"
"000905","2016-05-13","-0.212100"
"000905","2016-05-16","1.719000"
"000905","2016-05-17","-0.381900"
"000905","2016-05-18","-2.748500"
"000905","2016-05-19","0.631100"
"000905","2016-05-20","1.167700"
"000905","2016-05-23","1.335700"
"000905","2016-05-24","-1.141200"
"000905","2016-05-25","-0.487400"
"000905","2016-05-26","0.511000"
"000905","2016-05-27","-0.083500"
"000905","2016-05-30","-0.492600"
"000905","2016-05-31","4.132300"
"000905","2016-06-01","0.444900"
"000905","2016-06-02","0.671500"
"000905","2016-06-03","0.311100"
"000905","2016-06-06","0.319200"
"000905","2016-06-07","-0.107500"
"000905","2016-06-08","-0.355300"
"000905","2016-06-13","-4.605600"
"000905","2016-06-14","0.283900"
"000905","2016-06-15","3.298500"
"000905","2016-06-16","-0.374600"
"000905","2016-06-17","0.568700"
"000905","2016-06-20","0.357100"
"000905","2016-06-21","-1.148900"
"000905","2016-06-22","1.556300"
"000905","2016-06-23","-0.511100"
"000905","2016-06-24","-1.247100"
"000905","2016-06-27","2.381600"
"000905","2016-06-28","1.047100"
"000905","2016-06-29","0.207800"
"000905","2016-06-30","0.053800"
"000905","2016-07-01","-0.195200"
"000905","2016-07-04","1.969100"
"000905","2016-07-05","0.603700"
"000905","2016-07-06","0.444900"
"000905","2016-07-07","0.355600"
"000905","2016-07-08","-0.315500"
"000905","2016-07-11","0.200700"
"000905","2016-07-12","1.309200"
"000905","2016-07-13","0.804000"
"000905","2016-07-14","0.139900"
"000905","2016-07-15","-0.225600"
"000905","2016-07-18","-0.449400"
"000905","2016-07-19","0.309800"
"000905","2016-07-20","-0.217900"
"000905","2016-07-21","0.386200"
"000905","2016-07-22","-0.803800"
"000905","2016-07-25","0.279400"
"000905","2016-07-26","1.337100"
"000905","2016-07-27","-4.083200"
"000905","2016-07-28","0.224700"
"000905","2016-07-29","-0.647000"
"000905","2016-08-01","-1.509200"
"000905","2016-08-02","0.969500"
"000905","2016-08-03","0.484400"
"000905","2016-08-04","0.642800"
"000905","2016-08-05","-0.560200"
"000905","2016-08-08","1.410000"
"000905","2016-08-09","0.807400"
"000905","2016-08-10","-0.367100"
"000905","2016-08-11","-1.455400"
"000905","2016-08-12","1.168900"
"000905","2016-08-15","2.277100"
"000905","2016-08-16","0.409300"
"000905","2016-08-17","0.301000"
"000905","2016-08-18","0.031500"
"000905","2016-08-19","0.140900"
"000905","2016-08-22","-1.218600"
"000905","2016-08-23","0.130000"
"000905","2016-08-24","0.098900"
"000905","2016-08-25","-0.815700"
"000905","2016-08-26","0.441300"
"000905","2016-08-29","0.262000"
"000905","2016-08-30","-0.027600"
"000905","2016-08-31","0.131600"
"000905","2016-09-01","-0.819600"
"000905","2016-09-02","-0.384300"
"000905","2016-09-05","0.548000"
"000905","2016-09-06","1.583000"
"000905","2016-09-07","0.020700"
"000905","2016-09-08","0.364400"
"000905","2016-09-09","-0.720000"
"000905","2016-09-12","-2.772600"
"000905","2016-09-13","0.451300"
"000905","2016-09-14","-0.662600"
"000905","2016-09-19","1.051600"
"000905","2016-09-20","-0.033900"
"000905","2016-09-21","0.027100"
"000905","2016-09-22","0.660200"
"000905","2016-09-23","-0.235700"
"000905","2016-09-26","-2.026000"
"000905","2016-09-27","0.727300"
"000905","2016-09-28","-0.089500"
"000905","2016-09-29","0.278700"
"000905","2016-09-30","0.465100"
"000905","2016-10-10","1.890100"
"000905","2016-10-11","0.600700"
"000905","2016-10-12","-0.056800"
"000905","2016-10-13","0.032300"
"000905","2016-10-14","-0.236500"
"000905","2016-10-17","-0.870900"
"000905","2016-10-18","1.499000"
"000905","2016-10-19","-0.215500"
"000905","2016-10-20","0.045900"
"000905","2016-10-21","-0.353300"
"000905","2016-10-24","0.991200"
"000905","2016-10-25","0.365300"
"000905","2016-10-26","-0.502200"
"000905","2016-10-27","-0.199500"
"000905","2016-10-28","-0.944000"
"000905","2016-10-31","-0.056200"
"000905","2016-11-01","0.864000"
"000905","2016-11-02","-0.811600"
"000905","2016-11-03","0.443100"
"000905","2016-11-04","-0.326000"
"000905","2016-11-07","0.096300"
"000905","2016-11-08","0.531200"
"000905","2016-11-09","-0.762800"
"000905","2016-11-10","1.292200"
"000905","2016-11-11","0.717800"
"000905","2016-11-14","0.472700"
"000905","2016-11-15","0.384800"
"000905","2016-11-16","0.056100"
"000905","2016-11-17","-0.116200"
"000905","2016-11-18","-0.514500"
"000905","2016-11-21","0.139500"
"000905","2016-11-22","0.751800"
"000905","2016-11-23","-0.451500"
"000905","2016-11-24","-0.122500"
"000905","2016-11-25","0.449500"
"000905","2016-11-28","0.270400"
"000905","2016-11-29","-0.749700"
"000905","2016-11-30","-0.531900"
"000905","2016-12-01","0.590500"
"000905","2016-12-02","-1.562300"
"000905","2016-12-05","-0.536100"
"000905","2016-12-06","0.075100"
"000905","2016-12-07","1.034300"
"000905","2016-12-08","-0.466500"
"000905","2016-12-09","-0.207100"
"000905","2016-12-12","-4.065700"
"000905","2016-12-13","0.465700"
"000905","2016-12-14","-0.616100"
"000905","2016-12-15","0.655500"
"000905","2016-12-16","0.607100"
"000905","2016-12-19","0.034900"
"000905","2016-12-20","-0.317900"
"000905","2016-12-21","0.745400"
"000905","2016-12-22","-0.091700"
"000905","2016-12-23","-0.942800"
"000905","2016-12-26","0.203100"
"000905","2016-12-27","-0.093700"
"000905","2016-12-28","-0.296100"
"000905","2016-12-29","-0.281200"
"000905","2016-12-30","0.176200"
"000905","2017-01-03","0.912200"
"000905","2017-01-04","1.169300"
"000905","2017-01-05","0.072200"
"000905","2017-01-06","-0.432300"
"000905","2017-01-09","0.687400"
"000905","2017-01-10","-0.335000"
"000905","2017-01-11","-0.969100"
"000905","2017-01-12","-0.933600"
"000905","2017-01-13","-1.246500"
"000905","2017-01-16","-2.638000"
"000905","2017-01-17","0.842700"
"000905","2017-01-18","-0.221500"
"000905","2017-01-19","-0.410600"
"000905","2017-01-20","1.295900"
"000905","2017-01-23","0.819500"
"000905","2017-01-24","-0.111800"
"000905","2017-01-25","0.232000"
"000905","2017-01-26","0.714300"
"000905","2017-02-03","-0.266900"
"000905","2017-02-06","0.840200"
"000905","2017-02-07","-0.053000"
"000905","2017-02-08","0.570200"
"000905","2017-02-09","0.629100"
"000905","2017-02-10","0.093700"
"000905","2017-02-13","0.513600"
"000905","2017-02-14","0.082100"
"000905","2017-02-15","-0.991200"
"000905","2017-02-16","0.754800"
"000905","2017-02-17","-0.820400"
"000905","2017-02-20","1.235100"
"000905","2017-02-21","0.773300"
"000905","2017-02-22","0.618300"
"000905","2017-02-23","-0.003600"
"000905","2017-02-24","0.033600"
"000905","2017-02-27","-0.801600"
"000905","2017-02-28","0.415800"
"000905","2017-03-01","0.258400"
"000905","2017-03-02","-0.510400"
"000905","2017-03-03","0.283000"
"000905","2017-03-06","0.999300"
"000905","2017-03-07","0.090000"
"000905","2017-03-08","-0.400100"
"000905","2017-03-09","-0.888200"
"000905","2017-03-10","0.132500"
"000905","2017-03-13","0.930200"
"000905","2017-03-14","-0.221400"
"000905","2017-03-15","-0.114300"
"000905","2017-03-16","0.883100"
"000905","2017-03-17","-0.918400"
"000905","2017-03-20","0.232800"
"000905","2017-03-21","0.270900"
"000905","2017-03-22","-0.247900"
"000905","2017-03-23","0.190700"
"000905","2017-03-24","0.528700"
"000905","2017-03-27","-0.467100"
"000905","2017-03-28","-0.266200"
"000905","2017-03-29","-0.279200"
"000905","2017-03-30","-1.617100"
"000905","2017-03-31","0.406300"
"000905","2017-04-05","2.160700"
"000905","2017-04-06","0.301000"
"000905","2017-04-07","0.290800"
"000905","2017-04-10","-0.185200"
"000905","2017-04-11","0.953700"
"000905","2017-04-12","-0.794800"
"000905","2017-04-13","0.596500"
"000905","2017-04-14","-1.323200"
"000905","2017-04-17","-1.096200"
"000905","2017-04-18","-0.594500"
"000905","2017-04-19","-1.052700"
"000905","2017-04-20","-0.045300"
"000905","2017-04-21","-0.741400"
"000905","2017-04-24","-2.574400"
"000905","2017-04-25","0.357700"
"000905","2017-04-26","0.258700"
"000905","2017-04-27","0.257500"
"000905","2017-04-28","0.315800"
"000905","2017-05-02","0.068500"
"000905","2017-05-03","-0.299800"
"000905","2017-05-04","-0.341600"
"000905","2017-05-05","-1.402500"
"000905","2017-05-08","-1.874400"
"000905","2017-05-09","0.610200"
"000905","2017-05-10","-2.098500"
"000905","2017-05-11","-0.224300"
"000905","2017-05-12","-0.150800"
"000905","2017-05-15","0.506900"
"000905","2017-05-16","2.056900"
"000905","2017-05-17","0.214700"
"000905","2017-05-18","-0.851900"
"000905","2017-05-19","-0.022100"
"000905","2017-05-22","-1.442100"
"000905","2017-05-23","-2.104600"
"000905","2017-05-24","0.596300"
"000905","2017-05-25","0.888900"
"000905","2017-05-26","-0.237000"
"000905","2017-05-31","-0.219800"
"000905","2017-06-01","-1.959200"
"000905","2017-06-02","1.094900"
"000905","2017-06-05","0.749800"
"000905","2017-06-06","0.442300"
"000905","2017-06-07","1.942800"
"000905","2017-06-08","0.066500"
"000905","2017-06-09","0.172800"
"000905","2017-06-12","-1.112700"
"000905","2017-06-13","1.307900"
"000905","2017-06-14","-0.227900"
"000905","2017-06-15","0.917400"
"000905","2017-06-16","-0.135600"
"000905","2017-06-19","0.738600"
"000905","2017-06-20","0.156700"
"000905","2017-06-21","0.186100"
"000905","2017-06-22","-1.412600"
"000905","2017-06-23","0.300000"
"000905","2017-06-26","1.685900"
"000905","2017-06-27","0.025000"
"000905","2017-06-28","-0.440900"
"000905","2017-06-29","0.505800"
"000905","2017-06-30","0.346000"
"000905","2017-07-03","0.639300"
"000905","2017-07-04","-0.494400"
"000905","2017-07-05","0.766400"
"000905","2017-07-06","0.124200"
"000905","2017-07-07","0.392800"
"000905","2017-07-10","-0.312500"
"000905","2017-07-11","-1.249700"
"000905","2017-07-12","0.065200"
"000905","2017-07-13","0.276200"
"000905","2017-07-14","-0.344600"
"000905","2017-07-17","-4.116400"
"000905","2017-07-18","1.054600"
"000905","2017-07-19","2.036300"
"000905","2017-07-20","0.658900"
"000905","2017-07-21","0.439800"
"000905","2017-07-24","0.669600"
"000905","2017-07-25","-0.219400"
"000905","2017-07-26","-0.112000"
"000905","2017-07-27","0.607100"
"000905","2017-07-28","0.508400"
"000905","2017-07-31","1.327900"
"000905","2017-08-01","-0.182000"
"000905","2017-08-02","-0.551500"
"000905","2017-08-03","0.161600"
"000905","2017-08-04","-0.588500"
"000905","2017-08-07","1.257900"
"000905","2017-08-08","0.004700"
"000905","2017-08-09","0.575900"
"000905","2017-08-10","-0.801300"
"000905","2017-08-11","-2.035700"
"000905","2017-08-14","2.133500"
"000905","2017-08-15","0.351500"
"000905","2017-08-16","0.063900"
"000905","2017-08-17","0.747500"
"000905","2017-08-18","-0.287100"
"000905","2017-08-21","0.882600"
"000905","2017-08-22","-0.434100"
"000905","2017-08-23","-0.834400"
