"Indexcd","Idxtrd01","Idxtrd02"
"000001","2015-01-05","3258.627"
"000001","2015-01-06","3330.799"
"000001","2015-01-07","3326.649"
"000001","2015-01-08","3371.957"
"000001","2015-01-09","3276.965"
"000001","2015-01-12","3258.213"
"000001","2015-01-13","3223.542"
"000001","2015-01-14","3242.337"
"000001","2015-01-15","3224.070"
"000001","2015-01-16","3343.603"
"000001","2015-01-19","3189.727"
"000001","2015-01-20","3114.560"
"000001","2015-01-21","3189.085"
"000001","2015-01-22","3327.319"
"000001","2015-01-23","3357.096"
"000001","2015-01-26","3347.257"
"000001","2015-01-27","3389.853"
"000001","2015-01-28","3325.722"
"000001","2015-01-29","3258.997"
"000001","2015-01-30","3273.747"
"000001","2015-02-02","3148.136"
"000001","2015-02-03","3156.086"
"000001","2015-02-04","3212.822"
"000001","2015-02-05","3251.212"
"000001","2015-02-06","3120.090"
"000001","2015-02-09","3063.510"
"000001","2015-02-10","3090.490"
"000001","2015-02-11","3145.765"
"000001","2015-02-12","3157.959"
"000001","2015-02-13","3186.808"
"000001","2015-02-16","3206.137"
"000001","2015-02-17","3230.884"
"000001","2015-02-25","3256.479"
"000001","2015-02-26","3222.151"
"000001","2015-02-27","3296.831"
"000001","2015-03-02","3332.721"
"000001","2015-03-03","3317.695"
"000001","2015-03-04","3264.182"
"000001","2015-03-05","3264.085"
"000001","2015-03-06","3248.036"
"000001","2015-03-09","3224.314"
"000001","2015-03-10","3289.085"
"000001","2015-03-11","3289.594"
"000001","2015-03-12","3314.813"
"000001","2015-03-13","3359.488"
"000001","2015-03-16","3391.158"
"000001","2015-03-17","3469.603"
"000001","2015-03-18","3510.501"
"000001","2015-03-19","3576.019"
"000001","2015-03-20","3587.084"
"000001","2015-03-23","3640.104"
"000001","2015-03-24","3692.569"
"000001","2015-03-25","3680.953"
"000001","2015-03-26","3641.942"
"000001","2015-03-27","3686.134"
"000001","2015-03-30","3710.612"
"000001","2015-03-31","3822.987"
"000001","2015-04-01","3748.340"
"000001","2015-04-02","3827.689"
"000001","2015-04-03","3803.383"
"000001","2015-04-07","3899.420"
"000001","2015-04-08","3976.532"
"000001","2015-04-09","4006.130"
"000001","2015-04-10","3947.492"
"000001","2015-04-13","4072.723"
"000001","2015-04-14","4125.782"
"000001","2015-04-15","4135.648"
"000001","2015-04-16","4055.916"
"000001","2015-04-17","4254.723"
"000001","2015-04-20","4301.352"
