"Indexcd","Idxtrd01","Idxtrd02"
"000001","2010-09-02","2646.890"
"000001","2010-09-03","2658.130"
"000001","2010-09-06","2667.200"
"000001","2010-09-07","2698.220"
"000001","2010-09-08","2687.710"
"000001","2010-09-09","2698.640"
"000001","2010-09-10","2657.240"
"000001","2010-09-13","2665.660"
"000001","2010-09-14","2694.070"
"000001","2010-09-15","2688.390"
"000001","2010-09-16","2646.920"
"000001","2010-09-17","2607.550"
"000001","2010-09-20","2601.480"
"000001","2010-09-21","2593.760"
"000001","2010-09-27","2600.540"
"000001","2010-09-28","2625.330"
"000001","2010-09-29","2608.920"
"000001","2010-09-30","2599.720"
"000001","2010-10-08","2681.250"
"000001","2010-10-11","2755.030"
"000001","2010-10-12","2795.760"
"000001","2010-10-13","2842.140"
"000001","2010-10-14","2881.550"
"000001","2010-10-15","2863.740"
"000001","2010-10-18","2985.460"
"000001","2010-10-19","2949.630"
"000001","2010-10-20","2947.510"
"000001","2010-10-21","3009.230"
"000001","2010-10-22","2976.750"
"000001","2010-10-25","2979.710"
"000001","2010-10-26","3065.840"
"000001","2010-10-27","3031.650"
"000001","2010-10-28","2989.290"
"000001","2010-10-29","2993.300"
"000001","2010-11-01","2986.890"
"000001","2010-11-02","3061.630"
"000001","2010-11-03","3044.020"
"000001","2010-11-04","3035.370"
"000001","2010-11-05","3129.870"
"000001","2010-11-08","3140.400"
"000001","2010-11-09","3159.020"
"000001","2010-11-10","3120.440"
"000001","2010-11-11","3108.510"
"000001","2010-11-12","3121.920"
"000001","2010-11-15","2984.870"
"000001","2010-11-16","3007.640"
"000001","2010-11-17","2852.480"
"000001","2010-11-18","2855.610"
"000001","2010-11-19","2879.660"
"000001","2010-11-22","2861.610"
"000001","2010-11-23","2872.170"
"000001","2010-11-24","2794.860"
"000001","2010-11-25","2875.860"
"000001","2010-11-26","2890.290"
"000001","2010-11-29","2861.150"
"000001","2010-11-30","2863.410"
"000001","2010-12-01","2810.540"
"000001","2010-12-02","2860.460"
"000001","2010-12-03","2846.730"
"000001","2010-12-06","2850.380"
"000001","2010-12-07","2843.770"
"000001","2010-12-08","2868.730"
"000001","2010-12-09","2837.620"
"000001","2010-12-10","2798.740"
"000001","2010-12-13","2850.330"
"000001","2010-12-14","2928.300"
"000001","2010-12-15","2927.260"
"000001","2010-12-16","2908.870"
"000001","2010-12-17","2896.770"
"000001","2010-12-20","2901.470"
"000001","2010-12-21","2857.590"
"000001","2010-12-22","2910.730"
"000001","2010-12-23","2874.200"
"000001","2010-12-24","2841.350"
"000001","2010-12-27","2842.810"
"000001","2010-12-28","2768.030"
"000001","2010-12-29","2735.480"
"000001","2010-12-30","2751.970"
"000001","2010-12-31","2759.160"
"000001","2011-01-04","2825.330"
"000001","2011-01-05","2833.120"
"000001","2011-01-06","2838.440"
"000001","2011-01-07","2820.670"
"000001","2011-01-10","2832.620"
"000001","2011-01-11","2783.480"
"000001","2011-01-12","2811.790"
"000001","2011-01-13","2830.530"
"000001","2011-01-14","2817.050"
"000001","2011-01-17","2772.450"
"000001","2011-01-18","2696.150"
"000001","2011-01-19","2707.820"
"000001","2011-01-20","2752.800"
"000001","2011-01-21","2668.680"
"000001","2011-01-24","2716.520"
"000001","2011-01-25","2691.690"
"000001","2011-01-26","2677.170"
"000001","2011-01-27","2690.830"
"000001","2011-01-28","2741.310"
"000001","2011-01-31","2751.530"
"000001","2011-02-01","2795.070"
"000001","2011-02-09","2778.700"
"000001","2011-02-10","2769.650"
"000001","2011-02-11","2815.120"
"000001","2011-02-14","2828.570"
"000001","2011-02-15","2900.430"
"000001","2011-02-16","2893.680"
"000001","2011-02-17","2929.260"
"000001","2011-02-18","2924.230"
"000001","2011-02-21","2886.540"
"000001","2011-02-22","2941.320"
"000001","2011-02-23","2844.990"
"000001","2011-02-24","2861.390"
"000001","2011-02-25","2876.780"
"000001","2011-02-28","2880.170"
"000001","2011-03-01","2906.290"
"000001","2011-03-02","2905.510"
"000001","2011-03-03","2918.730"
"000001","2011-03-04","2902.190"
"000001","2011-03-07","2952.720"
"000001","2011-03-08","2996.730"
"000001","2011-03-09","3002.550"
"000001","2011-03-10","2995.770"
"000001","2011-03-11","2942.420"
"000001","2011-03-14","2923.980"
"000001","2011-03-15","2927.980"
"000001","2011-03-16","2894.250"
"000001","2011-03-17","2906.960"
"000001","2011-03-18","2920.810"
"000001","2011-03-21","2913.910"
"000001","2011-03-22","2917.690"
"000001","2011-03-23","2919.020"
"000001","2011-03-24","2949.850"
"000001","2011-03-25","2948.540"
"000001","2011-03-28","2985.360"
"000001","2011-03-29","2979.870"
"000001","2011-03-30","2955.450"
"000001","2011-03-31","2954.650"
"000001","2011-04-01","2932.480"
"000001","2011-04-06","2964.210"
"000001","2011-04-07","3003.200"
"000001","2011-04-08","3005.370"
"000001","2011-04-11","3037.910"
"000001","2011-04-12","3012.800"
"000001","2011-04-13","3006.830"
"000001","2011-04-14","3049.670"
"000001","2011-04-15","3036.350"
"000001","2011-04-18","3040.530"
"000001","2011-04-19","3038.810"
"000001","2011-04-20","3005.980"
"000001","2011-04-21","3021.770"
"000001","2011-04-22","3025.700"
"000001","2011-04-25","3003.030"
"000001","2011-04-26","2956.950"
"000001","2011-04-27","2946.330"
"000001","2011-04-28","2937.950"
"000001","2011-04-29","2886.630"
"000001","2011-05-03","2911.510"
"000001","2011-05-04","2916.850"
"000001","2011-05-05","2854.770"
"000001","2011-05-06","2842.770"
"000001","2011-05-09","2868.240"
"000001","2011-05-10","2876.980"
"000001","2011-05-11","2890.350"
"000001","2011-05-12","2864.980"
"000001","2011-05-13","2846.310"
"000001","2011-05-16","2864.380"
"000001","2011-05-17","2846.450"
"000001","2011-05-18","2846.730"
"000001","2011-05-19","2879.390"
"000001","2011-05-20","2858.310"
"000001","2011-05-23","2853.290"
"000001","2011-05-24","2766.060"
"000001","2011-05-25","2764.560"
"000001","2011-05-26","2755.390"
"000001","2011-05-27","2739.390"
"000001","2011-05-30","2704.490"
"000001","2011-05-31","2707.560"
"000001","2011-06-01","2737.060"
"000001","2011-06-02","2715.320"
"000001","2011-06-03","2701.770"
"000001","2011-06-07","2720.970"
"000001","2011-06-08","2742.040"
"000001","2011-06-09","2743.540"
"000001","2011-06-10","2696.130"
"000001","2011-06-13","2687.650"
"000001","2011-06-14","2696.220"
"000001","2011-06-15","2717.680"
"000001","2011-06-16","2685.630"
"000001","2011-06-17","2661.410"
"000001","2011-06-20","2635.830"
"000001","2011-06-21","2628.020"
"000001","2011-06-22","2648.530"
"000001","2011-06-23","2640.660"
"000001","2011-06-24","2678.050"
"000001","2011-06-27","2746.790"
"000001","2011-06-28","2759.710"
"000001","2011-06-29","2757.400"
"000001","2011-06-30","2729.990"
"000001","2011-07-01","2767.830"
"000001","2011-07-04","2770.940"
"000001","2011-07-05","2812.720"
"000001","2011-07-06","2811.820"
"000001","2011-07-07","2813.190"
"000001","2011-07-08","2797.030"
"000001","2011-07-11","2789.450"
"000001","2011-07-12","2783.720"
"000001","2011-07-13","2756.030"
"000001","2011-07-14","2798.210"
"000001","2011-07-15","2803.590"
"000001","2011-07-18","2821.360"
"000001","2011-07-19","2804.920"
"000001","2011-07-20","2810.440"
"000001","2011-07-21","2795.900"
"000001","2011-07-22","2769.860"
"000001","2011-07-25","2759.630"
"000001","2011-07-26","2685.750"
"000001","2011-07-27","2690.140"
"000001","2011-07-28","2701.770"
"000001","2011-07-29","2706.500"
"000001","2011-08-01","2697.580"
"000001","2011-08-02","2689.970"
"000001","2011-08-03","2659.120"
"000001","2011-08-04","2683.190"
"000001","2011-08-05","2620.280"
"000001","2011-08-08","2599.290"
"000001","2011-08-09","2468.030"
"000001","2011-08-10","2562.390"
"000001","2011-08-11","2508.860"
"000001","2011-08-12","2593.400"
"000001","2011-08-15","2598.140"
"000001","2011-08-16","2627.850"
"000001","2011-08-17","2603.960"
"000001","2011-08-18","2601.990"
"000001","2011-08-19","2519.650"
"000001","2011-08-22","2534.570"
"000001","2011-08-23","2524.880"
"000001","2011-08-24","2562.410"
"000001","2011-08-25","2546.400"
"000001","2011-08-26","2602.210"
"000001","2011-08-29","2595.470"
"000001","2011-08-30","2592.600"
"000001","2011-08-31","2566.530"
"000001","2011-09-01","2569.800"
"000001","2011-09-02","2551.560"
"000001","2011-09-05","2510.100"
"000001","2011-09-06","2465.570"
"000001","2011-09-07","2480.940"
"000001","2011-09-08","2523.960"
"000001","2011-09-09","2506.970"
"000001","2011-09-13","2467.730"
"000001","2011-09-14","2478.590"
"000001","2011-09-15","2482.860"
"000001","2011-09-16","2490.180"
"000001","2011-09-19","2469.600"
"000001","2011-09-20","2433.720"
"000001","2011-09-21","2450.120"
"000001","2011-09-22","2491.210"
"000001","2011-09-23","2411.830"
"000001","2011-09-26","2416.230"
"000001","2011-09-27","2410.990"
"000001","2011-09-28","2427.290"
"000001","2011-09-29","2378.420"
"000001","2011-09-30","2368.400"
"000001","2011-10-10","2363.080"
"000001","2011-10-11","2401.740"
"000001","2011-10-12","2335.490"
"000001","2011-10-13","2412.830"
"000001","2011-10-14","2429.890"
"000001","2011-10-17","2434.490"
"000001","2011-10-18","2423.280"
"000001","2011-10-19","2387.830"
"000001","2011-10-20","2365.910"
"000001","2011-10-21","2330.510"
"000001","2011-10-24","2322.020"
"000001","2011-10-25","2366.400"
"000001","2011-10-26","2398.190"
"000001","2011-10-27","2432.470"
"000001","2011-10-28","2462.090"
"000001","2011-10-31","2470.250"
"000001","2011-11-01","2450.330"
"000001","2011-11-02","2437.870"
"000001","2011-11-03","2510.840"
"000001","2011-11-04","2525.240"
"000001","2011-11-07","2518.900"
"000001","2011-11-08","2514.260"
"000001","2011-11-09","2512.590"
"000001","2011-11-10","2498.590"
"000001","2011-11-11","2483.960"
"000001","2011-11-14","2498.670"
"000001","2011-11-15","2525.950"
"000001","2011-11-16","2529.070"
"000001","2011-11-17","2467.700"
"000001","2011-11-18","2448.390"
"000001","2011-11-21","2416.730"
"000001","2011-11-22","2400.980"
"000001","2011-11-23","2415.200"
"000001","2011-11-24","2379.150"
"000001","2011-11-25","2393.330"
"000001","2011-11-28","2383.890"
"000001","2011-11-29","2398.990"
"000001","2011-11-30","2406.330"
"000001","2011-12-01","2392.490"
"000001","2011-12-02","2374.900"
"000001","2011-12-05","2363.110"
"000001","2011-12-06","2326.660"
"000001","2011-12-07","2325.560"
